Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Overdue,Answered,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,SLA Due Date,Breached SLA
111636,3/12/2021 9:57,Error Displaying in Different Module,Jasper John,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/2021 17:19,3/12/2021 13:57,0,1,Jared Smith,SAP Support Team,16,2,PROD,PRODUCTION,New Ticket,3/12/2021 13:57,No
111632,3/10/2021 16:21,Approval Workflow Error,Erick White,ewhite@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/18/2021 17:16,3/15/2021 16:21,1,1,Mark Jikkins,JDE Support Team,28,6,PROD,PRODUCTION,New Ticket,3/10/2021 20:21,No
111621,2/22/2021 12:08,Public IP Trusted Certificate Authority Error,Tomi Yamamoto,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,3/5/2021 14:40,2/23/2021 0:08,0,1,Jared Smith,Network Team,5,1,PROD,PRODUCTION,New Ticket,2/22/2021 16:08,No
111608,2/15/2021 11:41,JDE Slowdown ,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021 17:40,2/15/2021 23:41,0,1,Jared Smith,JDE Support Team,12,1,PROD,PRODUCTION,Close Ticket,2/15/2021 15:41,No
111596,1/22/2021 10:58,JDE Slow Down,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/29/2021 17:19,1/22/2021 22:58,0,1,Jared Smith,JDE Support Team,7,1,PROD,PRODUCTION,Close Ticket,1/22/2021 14:58,No
111491,8/20/2020 9:36,ERROR 504 GATEWAY TIMEOUT AGAIN,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/15/2021 16:37,8/20/2020 21:36,0,1,Jared Smith,SAP Support Team,11,1,PROD,PRODUCTION,Close Ticket,8/20/2020 13:36,No
111571,12/10/2020 9:35,11/25/2020 8:34PM LOGIN ISSUE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:49,12/10/2020 21:35,0,1,Jared Smith,SAP Support Team,5,4,PROD,PRODUCTION,Open ,12/10/2020 13:35,No
111572,12/10/2020 9:37,11/25/2020 1:41PM LOGIN ISSUE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:48,12/10/2020 21:37,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,12/10/2020 13:37,No
111573,12/10/2020 9:49,11/26/2020 9:10PM LOGIN ISSUE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:47,12/10/2020 21:49,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,12/10/2020 13:49,No
111575,12/10/2020 9:59,"12/01/2020 12:00PM ""bea.jolt"" login error",Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:45,12/10/2020 21:59,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,12/10/2020 13:59,No
111576,12/10/2020 10:04,12/03/2020 7:45-7:55 Slow Performance,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:44,12/10/2020 22:04,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,12/10/2020 14:04,No
111564,11/25/2020 15:51,LOGIN ISSUE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,12/10/2020 17:15,11/26/2020 3:51,0,1,Stellar Murad,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,11/25/2020 19:51,No
111550,11/10/2020 10:49,Can't Access PROD Instance,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,11/16/2020 14:59,11/10/2020 22:49,0,1,Jared Smith,JDE Support Team,8,1,PROD,PRODUCTION,Close Ticket,11/10/2020 14:49,No
111493,8/23/2020 11:39,Port Issue After Patching Activity (23-AUG-20),Kenex Willows,kwillows@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/28/2020 17:08,8/23/2020 23:39,0,1,Jared Smith,JDE Support Team,12,3,PROD,PRODUCTION,New Ticket,8/23/2020 15:39,No
111487,8/15/2020 12:41,ERROR 504 GATEWAY TIMEOUT,Marvin Peters,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/24/2020 18:15,8/16/2020 0:41,0,1,Jared Smith,SAP Support Team,8,1,PROD,PRODUCTION,New Ticket,8/15/2020 16:41,No
111479,8/7/2020 13:44,ERROR FOR WINSCP APPLICATION,Tomi Yamamoto,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,8/18/2020 17:09,8/8/2020 1:44,0,1,Jared Smith,Network Team,4,1,PROD,DEVELOPMENT,New Ticket,8/7/2020 17:44,No
111451,7/1/2020 9:12,Laptop Repair,Sheila Ryder,msmiths@yahoo.com,Emergency,Internal Technical Department,Incident / Problem,Phone,Closed,7/9/2020 15:16,7/2/2020 17:00,0,1,Jared Smith,Network Team,4,0,NON-PROD,DEVELOPMENT,New Ticket,7/1/2020 13:12,No
111430,6/2/2020 10:26,SAP NOT ACCESSIBLE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/16/2020 17:47,12/11/2019 3:00,0,1,Jared Smith,SAP Support Team,11,2,PROD,PRODUCTION,Close Ticket,6/2/2020 14:26,No
111424,5/27/2020 9:26,SAP PRODUCTION IS DOWN,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/10/2020 17:25,11/23/2019 4:35,0,1,Jared Smith,SAP Support Team,12,20,PROD,PRODUCTION,New Ticket,5/27/2020 13:26,No
111416,4/27/2020 9:24,System Downtime,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,5/4/2020 17:12,10/25/2019 17:00,0,1,Jared Smith,SAP Support Team,5,2,PROD,PRODUCTION,New Ticket,4/27/2020 13:24,No
111403,3/23/2020 9:36,PROD: Inactive Phase / Status: No Manager ,Melody Thompson,mthompson@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,3/26/2020 18:40,7/2/2019 2:06,0,1,Jared Smith,JDE Support Team,7,2,PROD,DEVELOPMENT,New Ticket,3/23/2020 13:36,No
111387,2/13/2020 9:13,PROD: Slowdown of JDE in Production instance,Melody Thompson,mthompson@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/18/2020 14:03,7/19/2019 2:02,0,1,Jared Smith,JDE Support Team,10,7,PROD,DEVELOPMENT,New Ticket,2/13/2020 13:13,No
111384,2/10/2020 11:11,SQL Access Manager SQL Error,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/11/2020 15:44,9/21/2019 22:41,0,1,Jared Smith,AWS Team,5,2,PROD,PRODUCTION,Close Ticket,2/10/2020 15:11,No
111366,1/3/2020 14:02,Error on Finish Enrolling,Marvin Peters,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/14/2020 17:35,3/19/2019 21:49,0,1,Jared Smith,SAP Support Team,10,2,PROD,DEVELOPMENT,New Ticket,1/3/2020 18:02,No
111364,1/3/2020 10:57,"Slow loading in SAP - Jan 3, 6 2020",Jasper John,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/10/2020 17:59,8/8/2019 19:17,0,1,Jared Smith,SAP Support Team,11,4,PROD,DEVELOPMENT,New Ticket,1/3/2020 14:57,No
111347,11/22/2019 16:35,"SAP Production Downtime Issue - Nov 21, 22",John Brown,jbrown@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,12/12/2019 11:19,6/7/2019 17:00,0,1,Jared Smith,SAP Support Team,6,1,PROD,PRODUCTION,New Ticket,11/22/2019 20:35,No
111331,10/23/2019 17:03,Delete or Rollback a payroll run,Melody Thompson,mthompson@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,11/4/2019 15:49,6/10/2019 17:00,0,1,Jared Smith,JDE Support Team,30,26,PROD,PRODUCTION,New Ticket,10/23/2019 21:03,No
111246,7/1/2019 14:06,Batch Process of student groups not working.,Jasper John,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,10/22/2019 18:12,4/5/2019 4:00,0,1,Jared Smith,SAP Support Team,14,3,PROD,PRODUCTION,Close Ticket,7/1/2019 18:06,No
111265,7/18/2019 14:02,BPM Staging error,Atom Short,atom.short@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,10/1/2019 10:44,6/6/2019 20:37,0,1,Stellar Murad,Help Desk Team,7,0,PROD,PRODUCTION,New Ticket,7/18/2019 18:02,No
111306,9/21/2019 10:41,PALO ALTO DEVICE NO LIGHTS ON LAN PORTS,Tomi Yamamoto,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,9/27/2019 17:04,6/10/2019 17:00,0,1,Stellar Murad,Network Team,11,2,PROD,PRODUCTION,New Ticket,9/21/2019 14:41,No
111147,3/19/2019 9:49,CANNOT LOGIN IN SAP,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,9/11/2019 17:26,4/30/2019 3:18,0,1,Jared Smith,SAP Support Team,24,9,PROD,PRODUCTION,Close Ticket,3/19/2019 13:49,No
111254,7/9/2019 8:36,SAP is not Accessible,Jasper John,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,9/11/2019 17:23,4/25/2019 2:18,0,1,Jared Smith,SAP Support Team,21,6,PROD,PRODUCTION,Close Ticket,7/9/2019 12:36,No
111283,8/8/2019 7:17,JDE Prod not available (08 August 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/28/2019 11:09,4/8/2019 20:51,0,1,Jared Smith,JDE Support Team,9,1,PROD,PRODUCTION,New Ticket,8/8/2019 11:17,No
111258,7/11/2019 8:07,ERROR 504,Marvin Peters,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,7/17/2019 17:49,4/22/2019 21:07,0,1,Jared Smith,SAP Support Team,10,5,NON-PROD,TEST,Close Ticket,7/11/2019 12:07,No
111222,6/4/2019 9:33,Create specific function in the Responsibility,Wilson Campus,wilson.campus@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019 14:08,4/17/2019 23:24,0,1,Jared Smith,JDE Support Team,25,8,PROD,PRODUCTION,New Ticket,6/4/2019 13:33,No
111210,5/27/2019 10:47,Error Loading Position List in Authority to Travel,Paul Jiggins,pjiggins@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019 13:54,2/1/2019 13:55,0,1,Jared Smith,JDE Support Team,9,5,NON-PROD,PRODUCTION,New Ticket,5/27/2019 14:47,No
111168,4/4/2019 16:00,JDE Prod Slowdown 04 April 2019,Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019 13:48,2/4/2019 22:04,0,1,Jared Smith,JDE Support Team,25,5,PROD,PRODUCTION,Close Ticket,4/4/2019 20:00,No
111225,6/6/2019 8:37,Unable to Login in Prod Instance,John Brown,jbrown@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/13/2019 13:06,2/2/2019 1:56,0,1,Jared Smith,SAP Support Team,11,1,PROD,PRODUCTION,Close Ticket,6/6/2019 12:37,No
111188,4/29/2019 15:18,JDE PROD - Error in Workflow Background Process,Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/4/2019 17:19,7/30/2020 19:27,0,1,Jared Smith,JDE Support Team,45,3,NON-PROD,TEST,Close Ticket,4/29/2019 19:18,No
111184,4/24/2019 14:18,JDE PROD - Slowdown access (24 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,5/14/2019 19:20,3/16/2021 10:41,0,1,Jared Smith,JDE Support Team,14,1,PROD,DEVELOPMENT,New Ticket,4/24/2019 18:18,No
111171,4/8/2019 8:51,JDE Prod Error - Fail Web Server (08 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,4/29/2019 17:06,9/22/2023 4:39,0,1,Jared Smith,JDE Support Team,15,1,PROD,PRODUCTION,New Ticket,4/8/2019 12:51,No
111181,4/22/2019 9:07,JDE PROD - Request not completing (22 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,4/24/2019 17:38,12/4/2020 15:35,0,1,Jared Smith,JDE Support Team,18,5,PROD,PRODUCTION,New Ticket,4/22/2019 13:07,No
111178,4/17/2019 11:24,JDE Prod Slowdown (17 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,4/24/2019 17:37,9/12/2020 13:27,0,1,Jared Smith,JDE Support Team,13,1,PROD,PRODUCTION,New Ticket,4/17/2019 15:24,No
111108,2/1/2019 1:55,JDE Slowdown 29 January 2019,Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Email,Closed,4/1/2019 15:15,1/11/2021 3:35,0,1,Stellar Murad,JDE Support Team,15,7,PROD,PRODUCTION,New Ticket,2/1/2019 5:55,No
111118,2/4/2019 10:04,JDE Slowdown 04 February 2019,Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/20/2019 14:36,1/22/2021 19:59,0,1,Satya Prakash,JDE Support Team,19,15,PROD,PRODUCTION,New Ticket,2/4/2019 14:04,No
111117,2/1/2019 13:56,SQL ERROR ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/20/2019 14:34,1/28/2021 23:07,0,1,Raya Musk,SAP Support Team,18,6,PROD,PRODUCTION,New Ticket,2/1/2019 17:56,No
111478,7/30/2020 13:27,Create Accounting Warning Error Messages,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/2021 15:18,12/30/2020 0:37,1,1,Mark Jikkins,JDE Support Team,132,25,PROD,PRODUCTION,New Ticket,8/4/2020 0:00,No
111633,3/11/2021 10:41,Chedft_2018 Error Generating,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Resolved,4/7/2021 15:05,12/1/2020 21:47,1,0,Mark Jikkins,SAP Support Team,32,8,NON-PROD,PRODUCTION,New Ticket,3/16/2021 0:00,No
111649,3/23/2021 16:39,Error Uploading Template in Report Definition,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,4/5/2021 8:50,12/30/2020 0:22,0,1,Mark Jikkins,SAP Support Team,6,2,PROD,TEST,New Ticket,3/26/2021 0:00,No
111570,12/4/2020 9:35,Applying Withholding Tax,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/31/2021 11:52,12/10/2020 21:52,1,1,Mark Jikkins,JDE Support Team,38,5,PROD,PRODUCTION,New Ticket,12/9/2020 0:00,No
111501,9/9/2020 13:27,Self Service - Legislative Information,Troy Daniels,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/2021 18:56,12/10/2020 22:15,0,1,Jared Smith,JDE Support Team,59,8,PROD,PRODUCTION,New Ticket,9/14/2020 0:00,No
111590,1/10/2021 21:35,SPMS - Approver's Page,Jane Wilberts,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/8/2021 17:02,9/24/2020 0:02,0,1,Jared Smith,JDE Support Team,13,4,NON-PROD,PRODUCTION,New Ticket,1/13/2021 0:00,No
111597,1/22/2021 13:59,UP Los Baños not included in PMP,Jane Wilberts,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/5/2021 17:31,10/22/2020 3:16,0,1,Jared Smith,JDE Support Team,14,5,PROD,DEVELOPMENT,Close Ticket,1/27/2021 0:00,No
111549,11/10/2020 10:16,Java loads but won't launch applet,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/22/2021 18:08,10/6/2020 1:03,0,1,Jared Smith,JDE Support Team,19,11,PROD,DEVELOPMENT,New Ticket,11/13/2020 0:00,No
111565,12/1/2020 9:47,Slowdown in JDE Prod,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/19/2021 17:31,8/27/2020 22:53,0,1,Jared Smith,JDE Support Team,14,2,PROD,DEVELOPMENT,New Ticket,12/4/2020 0:00,No
111587,12/29/2020 12:22,Errors in ODSM,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/13/2021 17:04,7/22/2020 1:39,0,1,Jared Smith,SAP Support Team,7,2,PROD,DEVELOPMENT,Open ,1/1/2021 0:00,No
